case_id,ml_cluster
S01,2
S02,4
S03,3
S04,3
S05,0
S06,3
S07,0
S08,4
S09,0
S10,0
S11,3
S12,0
S13,0
S14,0
S15,0
S16,3
S17,1
S18,4
S19,4
S20,4
S21,4
S22,4
S23,4
S24,3
S25,1
S26,4
S27,1
S28,3
S29,4
S30,4
S31,3
S32,2
S33,0
S34,3
S35,3
S36,2
S37,1
S38,1
S39,1
S40,2
S41,1
S42,4
S43,3
S44,3
S45,3
S46,1
S47,2
S48,2
S49,2
S50,2
S51,2
S52,2
S53,2
S54,4
S55,3
S56,4
S57,4
S58,4
S59,4
S60,4
S61,4
S62,1
S63,1
S64,3
S65,3
S66,3
S67,3
S68,3
S69,1
S70,2
